,w1,w2,ground_truth,prediction
0,michigan,alabama,0.0,0.0
1,dallas-fort worth film critics association awards,christopher awards,0.0,0.0
2,heusden-zolder,zandvoort,0.0,0.0
3,pdte.,pdte,1.0,1.0
4,new jersey,maine,0.0,0.0
5,angola/central african republic/democratic republic of congo/kenya/republic of congo/rwanda/sudan/tanzania/uganda/zambia/(african great lakes),slovenia/yugoslavia (former),0.0,0.0
6,north dakota,wisconsin,0.0,0.0
7,711,923,0.0,0.0
8,slovakia,armenia,0.0,0.0
9,estonia,oecd members,0.0,0.0
10,trespass,gambling,0.0,0.0
11,lao people's democratic republic,nepal,0.0,0.0
12,sex offenses,trespass,0.0,0.0
13,french,new zealander,0.0,0.0
14,beaverton - west slope,wilkes,0.0,0.0
15,16,"1,7,8",0.0,0.0
16,denmark,haiti,0.0,0.0
17,human resource assistant,human resources assistant,1.0,1.0
18,wholesale and retail trade; repair of motor vehicles and motorcycles,"public administration and defence, education, human health and social work activities",0.0,0.0
19,utah,arizona,0.0,0.0
20,northwest,linnton,0.0,0.0
21,immigration counsel,immigration counsel,1.0,1.0
22,18,"6,16,28",0.0,0.0
23,unspecified_mix_of_hydrofluorocarbons_hfcs_and_perfluorocarbons_pfcs_emissions_in_kilotonne_co2_equivalent,carbon_dioxide_co2_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent,0.0,0.0
24,democratic people's republic of korea,micronesia (federated states of),0.0,0.0
25,q28lovejulia,q2age,0.0,0.0
26,caracas,republic of korea,0.0,0.0
27,less_sum_of_compensation_of_employees_and_property_income_to_the_rest_of_the_world,plus_taxes_less_subsidies_on_production_and_imports_from_and_to_the_rest_of_the_world_net,0.0,0.0
28,q25langlua,q26framelearndjango,0.0,0.0
29,nepal,el salvador,0.0,0.0
30,ageadjrate,ageadjprev,0.0,0.0
31,italian grand prix,brazilian grand prix,0.0,1.0
32,ukraine,gambia,0.0,0.0
33,belgium,estonia,0.0,0.0
34,i-love-the-new-yorker-magazine-in-sf,ny-career-meetup,0.0,0.0
35,united arab emirates,uruguay,0.0,0.0
36,district of columbia,utah,0.0,0.0
37,cloudflare-nginx,mw2103.codfw.wmnet,0.0,0.0
38,bulgaria,thailand,0.0,0.0
39,vice president,vice-president,1.0,1.0
40,t15,25,0.0,0.0
41,"3,4",25,0.0,0.0
42,actuarial assets,securities lending fees,0.0,0.0
43,less_subsidies_on_products,crop_and_animal_production_hunting_and_related_service_activities,0.0,0.0
44,czechoslovakia,dutch east indies,0.0,0.0
45,syrian arab republic,myanmar,0.0,0.0
46,guadalajara easy taxi,riobamba,0.0,0.0
47,990,30,0.0,0.0
48,stolen property,offenses against family,0.0,0.0
49,downstream_gene_variant,missense_variant,0.0,0.0
50,"foster city, ca","foster city, ca 94404",1.0,1.0
51,951,353,0.0,0.0
52,senior paralegal,senior paralegal,1.0,1.0
53,north carolina,new mexico,0.0,0.0
54,duii,homicide,0.0,0.0
55,taiwan province of china,netherlands,0.0,0.0
56,eliot,montavilla,0.0,0.0
57,gross fixed capital formation (including acquisitions less disposals of valuables),gross capital formation,0.0,0.0
58,de,mi,0.0,0.0
59,mt,nm,0.0,0.0
60,latin america & caribbean,east asia & pacific,0.0,0.0
61,language,languages,1.0,1.0
62,namibia,switzerland,0.0,0.0
63,sd,nh,0.0,0.0
64,north carolina,montana,0.0,0.0
65,de,delaware,1.0,1.0
66,madagascar,swaziland,0.0,0.0
67,"gambia, the",apec,0.0,0.0
68,household consumption expenditure (including non-profit institutions serving households),gross fixed capital formation (including acquisitions less disposals of valuables),0.0,0.0
69,beige & black,beige/black,1.0,1.0
70,fundingmethcode2_gasb,notes_investmentreturn,0.0,0.0
71,a1050000005zg06,a1050000002zor8,0.0,0.0
72,geological/geophysical services,not assigned,0.0,0.0
73,b-identifier,b-systematic,0.0,0.0
74,ri,ky,0.0,0.0
75,unknown cat,intact male cat,0.0,0.0
76,cigales,sardon de duero,0.0,0.0
77,5_prime_utr_variant,tf_binding_site_variant,0.0,0.0
78,illinois,utah,0.0,0.0
79,me,ms,0.0,0.0
80,church,tourist hotel/motel,0.0,0.0
81,ar,ne,0.0,0.0
82,quito cabify executive,quito uberx,0.0,0.0
83,shimin kaikan,shimin kaikan (nagoya),1.0,0.0
84,uy,no,0.0,0.0
85,brindle/tan,brindle & tan,1.0,1.0
86,includes administrative and support service activities.,preliminary data based on quarterly accounts.,0.0,0.0
87,isle of man,mauritius,0.0,0.0
88,stop_retained_variant&3_prime_utr_variant,splice_donor_variant,0.0,0.0
89,arc note,arc fye (check),0.0,0.0
90,united republic of tanzania: zanzibar,uruguay,0.0,0.0
91,market,smoothed,0.0,0.0
92,west midlands,west midlands (region),1.0,0.0
93,dnk,guy,0.0,0.0
94,include real estate activities.,"includes electricity, gas, steam and air conditioning supply.",0.0,0.0
95,pangeon,pageon,1.0,0.0
96,benin,lao people's democratic republic,0.0,0.0
97,private households with employed persons,"agriculture, hunting, forestry",0.0,0.0
98,startup90,ibizafrica,0.0,0.0
99,boxer cross,boxer cross,1.0,1.0
100,brindle/black,black/brindle,1.0,1.0
101,25,3,0.0,0.0
102,east asia and the pacific,europe and central asia,0.0,0.0
103,infousa; usda,"nvss, mortality",0.0,0.0
104,encruzado,auxerrois,0.0,0.0
105,06/07/2012,04/05/2012,0.0,0.0
106,seacliff,financial district/south beach,0.0,0.0
107,fmcg jobs,logistics jobs,0.0,0.0
108,hi,hawaii,1.0,0.0
109,postal service supervisors,architects,0.0,0.0
110,turkish grand prix,malaysian grand prix,0.0,0.0
111,gha,gha,1.0,1.0
112,penobscot county,riley county,0.0,0.0
113,sanl,nbrk,0.0,0.0
114,virgin islands,vi,1.0,0.0
115,education & learning,socializing,0.0,0.0
116,hawaii,hi,1.0,0.0
117,nigeria,colombia,0.0,0.0
118,sau,pry,0.0,0.0
119,pennsylvania,pa,1.0,0.0
120,latvia,brunei darussalam,0.0,0.0
121,varnishers and related painters,pawnbrokers and money lenders,0.0,0.0
122,"5,4","3,6",0.0,0.0
123,002g,305,0.0,0.0
124,bhutan,belize,0.0,0.0
125,"living standards measurement study survey (lsms), 2014","expenditure survey/budget survey (es/bs), 2007",0.0,0.0
126,ncon,wspr,0.0,0.0
127,layer 3 down,end,0.0,0.0
128,minneapolis,university of california,0.0,0.0
129,t014qe,isr,0.0,0.0
130,jarnvallen,jeju world cup stadium,0.0,0.0
131,politics and civic affairs services,fuels and fuel additives and lubricants and anti corrosive materials,0.0,0.0
132,cm,5op,0.0,0.0
133,r3z2,r1z5,0.0,0.0
134,italian,spanish,0.0,0.0
135,tunisia,bermuda,0.0,0.0
136,serbia and montenegro,papua new guinea,0.0,0.0
137,s,gpha,0.0,0.0
138,rhode island,california,0.0,0.0
139,layer 2 up,layer 1 down,0.0,0.0
140,high income,samoa,0.0,0.0
141,inverness-shire,inverness-shire,1.0,1.0
142,e_d309,e_223,0.0,0.0
143,mi,vacant,0.0,0.0
144,mn,ma,0.0,0.0
145,annual member (houston b-cycle),annual member,0.0,0.0
146,american indian or alaska native,native hawaiian or other pacific islander,0.0,0.0
147,nh,ak,0.0,0.0
148,transport_storage_and_communications,health_and_social_work,0.0,0.0
149,sme financial inclusion,health,0.0,0.0
150,montana,new mexico,0.0,0.0
151,public_administration_and_defence_compulsory_social_security,education,0.0,0.0
