,w1,w2,ground_truth,prediction
0,bermuda,botswana,0.0,0.0
1,bahrain,algeria,0.0,0.0
2,vt,sc,0.0,0.0
3,a,y,0.0,0.0
4,none,mime,0.0,0.0
5,iran,togo,0.0,0.0
6,ohio,west virginia,0.0,0.0
7,papua new guinea,sweden,0.0,0.0
8,"teacher credentialing, commission on","tahoe conservancy, california",0.0,0.0
9,t24254,e_pgov,0.0,0.0
10,czech republic,australia,0.0,0.0
11,write,writing,1.0,1.0
12,yrbss,statewide central cancer registries,0.0,0.0
13,plus_property_income_from_and_to_the_rest_of_the_world_net,equals_saving_net,0.0,0.0
14,21,39,0.0,0.0
15,new york,vermont,0.0,0.0
16,peru,oman,0.0,0.0
17,khr,pen,0.0,0.0
18,solomon islands,uzbekistan,0.0,0.0
19,"academy of science fiction, fantasy & horror films, usa",the kennedy center honors,0.0,0.0
20,10,971,0.0,0.0
21,montrose county,prince george county,0.0,0.0
22,nepal,bahrain,0.0,0.0
23,020e,041c,0.0,0.0
24,ven,ven,1.0,1.0
25,malaysia,honduras,0.0,0.0
26,startup90,sw7co,0.0,0.0
27,aze,aze,1.0,1.0
28,guinea-bissau,lebanon,0.0,0.0
29,delhi,raipur,0.0,0.0
30,a1050000000wf0p,a1050000000uzad,0.0,0.0
31,shay,hayw,0.0,0.0
32,e_mpcim,vs,0.0,0.0
33,armenia,footnote_seqid,0.0,0.0
34,attorney of record,attorney of record,1.0,1.0
35,w16,z01,0.0,0.0
36,other deductions,cost method,0.0,0.0
37,san diego,new york,0.0,0.0
38,"equals: value added, gross, in basic prices","agriculture, hunting, forestry; fishing",0.0,0.0
39,830,w31,0.0,0.0
40,2,712,0.0,0.0
41,pfalz,muzla,0.0,0.0
42,rph1_0,dia6_0,0.0,0.0
43,gib,bmu,0.0,0.0
44,india,italy,0.0,0.0
45,white & brown & grey,grey & brown & white,1.0,1.0
46,turkey,zambia,0.0,0.0
47,rus,pyf,0.0,0.0
48,structures and building and construction and manufacturing components and supplies,information technology broadcasting and telecommunications,0.0,0.0
49,mandolin,bass viol,0.0,0.0
50,middle income,mongolia,0.0,0.0
51,ibrd/ida,partnership,0.0,0.0
52,nio,thb,0.0,0.0
53,weh,gut,0.0,0.0
54,morphological id by res. associate,morphological id b. res. associate,1.0,1.0
55,women entrepreneurs,startup (youth),0.0,0.0
56,illinois,il,1.0,1.0
57,maryland,new jersey,0.0,0.0
58,year,yr,1.0,0.0
59,"5,1",6,0.0,0.0
60,montavilla,hazelwood,0.0,0.0
61,belgian,spanish,0.0,0.0
62,japantown,south of market,0.0,0.0
63,colonial theater,colonial theatre,1.0,1.0
64,1 family dwelling,workshop commercial,0.0,0.0
65,742,822,0.0,0.0
66,cuba,liechtenstein,0.0,0.0
67,exports_of_goods_and_services,general_government_final_consumption_expenditure,0.0,0.0
68,96932-0513,00803-3437,0.0,0.0
69,151,3,0.0,0.0
70,condition,tag,0.0,0.0
71,18,9,0.0,0.0
72,i-systematic,i-trivial,0.0,0.0
73,rhodesian ridgeback cross,rhodesian ridgeback cross,1.0,1.0
74,knox city council,hobsons bay city council,0.0,0.0
75,nm,ne,0.0,0.0
76,qatar,kazakhstan,0.0,0.0
77,republic of moldova,qatar,0.0,0.0
78,dc,in,0.0,0.0
79,nbrk,mcar,0.0,0.0
80,ak,alaska,1.0,0.0
81,viile timis,loncomilla valley,0.0,0.0
82,administrative miscellaneous / second compliance inspection,trans fat / initial inspection,0.0,0.0
83,statewide central cancer registries,yrbss,0.0,0.0
84,latvia,curaçao,0.0,0.0
85,swaziland,armenia,0.0,0.0
86,saudi arabia,tanzania,0.0,0.0
87,manx/domestic longhair,scottish fold,0.0,0.0
88,international_liquidity,fund_position,0.0,0.0
89,cambodia,rwanda,0.0,0.0
90,ambulance service,food/beverage hndlng,0.0,0.0
91,liberia,mozambique,0.0,0.0
92,recipient executed activities,institutional development fund,0.0,0.0
93,bengali,han chinese,0.0,0.0
94,new hampshire,nebraska,0.0,0.0
95,cat (new),category 2 pensioner,0.0,0.0
96,new york,west virginia,0.0,0.0
97,dallas grand prix,bahrain grand prix,0.0,0.0
98,food/beverage hndlng,ambulance service,0.0,0.0
99,24-hour kiosk (austin b-cycle),weekender,0.0,0.0
100,russian grand prix,azerbaijan grand prix,0.0,0.0
101,wi,wisconsin,1.0,1.0
102,y05,x07,0.0,0.0
103,tza,tea,0.0,0.0
104,kochi,nagpur,0.0,0.0
105,ca-sb dvbe12324,ca-sb dbe sb wbe,0.0,0.0
106,creativesnyc,startup-marketers,0.0,0.0
107,05b,04c,0.0,0.0
108,software license program,cmas,0.0,0.0
109,mz,pg,0.0,0.0
110,irvington,wilkes,0.0,0.0
111,value added refers to gdp.,includes private households with employed persons.,0.0,0.0
112,jacksonville,seattle,0.0,0.0
113,sanl,woak,0.0,0.0
114,internet software & services,computer hardware,0.0,0.0
115,palau,micronesia (federated states of),0.0,0.0
116,a,n,0.0,0.0
117,paraffin_waxes,tide_wave_and_ocean_electricity,0.0,0.0
118,ltu,swz,0.0,0.0
119,tu,352,0.0,0.0
120,nd,oh,0.0,0.0
121,india,zambia,0.0,0.0
122,"11,15","1,14",0.0,0.0
